Sample Name	Protocol REF	Protocol REF	Assay Name	Raw Data File	Comment [Data Repository]	Comment [Data Record Accession]	Comment [Data Record URI]	Factor Value[region]
Anopheles baimaii_Asia Pacific	Site geo-positioning	Bionomics datasets	Anopheles baimaii (formerly dirus Sp. D)_Asia Pacific	Bionomics Asia-Pacific.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Asia Pacific
Anopheles leucosphyrus_Asia Pacific	Site geo-positioning	Bionomics datasets	Anopheles leucosphyrus_Asia Pacific	Bionomics Asia-Pacific.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Asia Pacific
Anopheles cracens_Asia Pacific	Site geo-positioning	Bionomics datasets	Anopheles cracens (formerly dirus Sp. B)_Asia Pacific	Bionomics Asia-Pacific.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Asia Pacific
Anopheles fluviatilis T_Asia Pacific	Site geo-positioning	Bionomics datasets	Anopheles fluviatilis (Sp.T)_Asia Pacific	Bionomics Asia-Pacific.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Asia Pacific
Anopheles culicifacies A_Asia Pacific	Site geo-positioning	Bionomics datasets	Anopheles culicifacies (Sp. A)_Asia Pacific	Bionomics Asia-Pacific.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Asia Pacific
Anopheles culicifacies B_Asia Pacific	Site geo-positioning	Bionomics datasets	Anopheles culicifacies (Sp. B)_Asia Pacific	Bionomics Asia-Pacific.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Asia Pacific
Anopheles culicifacies C_Asia Pacific	Site geo-positioning	Bionomics datasets	Anopheles culicifacies (Sp. C)_Asia Pacific	Bionomics Asia-Pacific.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Asia Pacific
Anopheles fluviatilis S_Asia Pacific	Site geo-positioning	Bionomics datasets	Anopheles fluviatilis (Sp. S)_Asia Pacific	Bionomics Asia-Pacific.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Asia Pacific
Anopheles culicifacies D_Asia Pacific	Site geo-positioning	Bionomics datasets	Anopheles culicifacies (Sp. D)_Asia Pacific	Bionomics Asia-Pacific.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Asia Pacific
Anopheles scanloni_Asia Pacific	Site geo-positioning	Bionomics datasets	Anopheles dirus (scanloni, formerly Sp. C)_Asia Pacific	Bionomics Asia-Pacific.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Asia Pacific
Anopheles epiroticus_Asia Pacific	Site geo-positioning	Bionomics datasets	Anopheles epiroticus (formerly sundaicus Sp. A)_Asia Pacific	Bionomics Asia-Pacific.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Asia Pacific
Anopheles annularis_Asia Pacific	Site geo-positioning	Bionomics datasets	Anopheles annularis_Asia Pacific	Bionomics Asia-Pacific.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Asia Pacific
Anopheles punctulatus complex_Asia Pacific	Site geo-positioning	Bionomics datasets	Anopheles punctulatus complex_Asia Pacific	Bionomics Asia-Pacific.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Asia Pacific
Anopheles farauti complex_Asia Pacific	Site geo-positioning	Bionomics datasets	Anopheles farauti complex_Asia Pacific	Bionomics Asia-Pacific.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Asia Pacific
Anopheles koliensis_Asia Pacific	Site geo-positioning	Bionomics datasets	Anopheles koliensis_Asia Pacific	Bionomics Asia-Pacific.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Asia Pacific
Anopheles latens_Asia Pacific	Site geo-positioning	Bionomics datasets	Anopheles latens (leucospyrus)_Asia Pacific	Bionomics Asia-Pacific.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Asia Pacific
leucosphyrus species complex_Asia Pacific	Site geo-positioning	Bionomics datasets	Anopheles leucosphyrus complex_Asia Pacific	Bionomics Asia-Pacific.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Asia Pacific
Anopheles subpictus Sp B_Asia Pacific	Site geo-positioning	Bionomics datasets	Anopheles subpictus (Sp. B)_Asia Pacific	Bionomics Asia-Pacific.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Asia Pacific
Anopheles farauti_Asia Pacific	Site geo-positioning	Bionomics datasets	Anopheles farauti (formerly No.1)_Asia Pacific	Bionomics Asia-Pacific.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Asia Pacific
Anopheles punctulatus_Asia Pacific	Site geo-positioning	Bionomics datasets	Anopheles punctulatus_Asia Pacific	Bionomics Asia-Pacific.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Asia Pacific
Anopheles hinesorum_Asia Pacific	Site geo-positioning	Bionomics datasets	Anopheles farauti (hinesorum, formerly No. 2)_Asia Pacific	Bionomics Asia-Pacific.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Asia Pacific
Anopheles farauti No 4_Asia Pacific	Site geo-positioning	Bionomics datasets	Anopheles farauti (No. 4)_Asia Pacific	Bionomics Asia-Pacific.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Asia Pacific
Anopheles farauti No 8_Asia Pacific	Site geo-positioning	Bionomics datasets	Anopheles farauti (No. 8)_Asia Pacific	Bionomics Asia-Pacific.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Asia Pacific
Anopheles fluviatilis U_Asia Pacific	Site geo-positioning	Bionomics datasets	Anopheles fluviatilis (Sp. U)_Asia Pacific	Bionomics Asia-Pacific.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Asia Pacific
Anopheles annularis A_Asia Pacific	Site geo-positioning	Bionomics datasets	Anopheles annularis (Sp. A)_Asia Pacific	Bionomics Asia-Pacific.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Asia Pacific
Anopheles culicifacies E_Asia Pacific	Site geo-positioning	Bionomics datasets	Anopheles culicifacies (Sp. E)_Asia Pacific	Bionomics Asia-Pacific.csv	Dryad Digital Repository	doi:10.5061/dryad.49p7f	http://dx.doi.org/10.5061/dryad.49p7f	Asia Pacific
